Ia	O
menjabat	O
sebagai	O
Presiden	O
ketiga	O
Mesir	Place
pada	O
periode	O
15	O
Oktober	O
1970	O
hingga	O
terbunuhnya	O
pada	O
6	O
Oktober	O
1981	O
.	O

Oleh	O
dunia	O
Barat	O
ia	O
dianggap	O
sebagai	O
orang	O
yang	O
sangat	O
berpengaruh	O
di	O
Mesir	Place
dan	O
di	O
Timur	O
Tengah	O
dalam	O
sejarah	O
modern	O
.	O

Sadat	Person
dilahirkan	O
di	O
Mit	O
Abu	O
Al-Kum	O
,	O
Al-Minufiyah	O
,	O
Mesir	Place
,	O
dalam	O
sebuah	O
keluarga	O
Mesir-sudan	O
yang	O
miskin	O
,	O
dengan	O
12	O
saudara	O
laki-laki	O
dan	O
perempuan	O
.	O

Ia	O
lulus	O
dari	O
Akademi	O
Militer	O
Kerajaan	Place
di	O
Kairo	Place
pada	O
1938	O
dan	O
ditempatkan	O
di	O
Korps	O
Isyarat	O
.	O

Ia	O
bergabung	O
dengan	O
Gerakan	O
Perwira	O
Bebas	O
,	O
yang	O
bertekad	O
untuk	O
membebaskan	O
Mesir	Place
dari	O
kekuasaan	O
Britania	Place
Raya	Place
.	O

Pada	O
tahun	O
1973	O
,	O
Anwar	Person
Sadat	Person
,	O
bersama-sama	O
dengan	O
Hafez	Person
Al	O
Assad	Person
,	O
Syria	O
,	O
memimpin	O
Mesir	Place
dalam	O
Perang	O
Yom	O
Kippur	O
melawan	O
Israel	Place
,	O
untuk	O
merebut	O
kembali	O
semenanjung	O
Sinai	O
,	O
yang	O
dicaplok	O
oleh	O
Israel	Place
ketika	O
Krisis	O
Terusan	Place
Suez	O
1956	O
dan	O
Perang	O
Enam	O
Hari.Meskipun	O
dalam	O
pertempuran	O
ini	O
masih	O
dipertentangkan	O
pihak	O
menang	O
ataupun	O
kalah	O
,	O
serta	O
hasil	O
Perjanjian	O
Camp	O
David	O
yang	O
menetapkan	O
Sinai	O
kembali	O
ketangan	O
Mesir	Place
,	O
keberhasilan	O
Anwar	Person
Sadat	Person
